actual_price,predicted_price
5.75,23.95951
3.76,27.53518
4.09,26.488646
2.46,25.896461
2.64,26.385384
9.61,33.549805
38.98,34.364326
49.82,42.076897
49.14,45.793594
47.75,47.215233
43.02,45.549854
41.81,44.122276
39.65,37.905823
39.3,36.77459
39.33,36.744778
40.91,35.415646
40.08,44.17781
47.4,45.05597
49.46,57.013023
48.34,53.22798
47.11,41.078316
40.72,39.808945
40.92,34.624844
34.95,27.9366
32.36,23.358126
30.65,24.940332
28.55,24.940332
30.18,27.38002
33.52,30.424236
37.96,30.701359
46.87,41.786163
55.36,53.33778
55.28,51.770557
56.25,52.053383
55.08,47.5571
52.05,47.88944
50.65,43.198338
50.14,42.25082
50.88,40.864307
51.64,43.305733
54.62,44.2477
58.78,52.40895
61.49,54.106102
55.88,50.8558
50.62,49.188034
45.3,45.074158
45.1,42.72259
42.26,36.23757
35.98,35.95957
36.79,36.304554
35.9,34.955776
34.02,34.529106
37.3,32.97218
37.42,35.47318
46.28,45.658215
53.23,54.505665
51.52,53.93069
49.7,54.372974
48.57,48.475433
47.05,44.13714
46.42,44.010635
46.03,43.213127
45.84,43.440266
46.78,43.345425
50.21,45.51114
54.27,53.792706
56.62,56.520626
53.67,55.743916
49.53,49.009403
46.3,41.961834
45.56,41.689827
42.85,39.03865
41.32,35.783
40.33,34.498856
39.95,32.753647
39.75,29.823439
40.38,32.473866
43.8,35.12903
52.83,43.80013
59.92,50.81888
62.22,52.59704
56.83,50.15432
52.95,46.797844
47.81,42.671787
45.75,41.319496
45.71,40.86645
45.56,40.365852
47.64,40.9007
51.49,43.074425
56.14,49.582813
60.84,52.461216
60.33,50.648922
54.79,46.118732
50.1,41.43821
48.37,40.68832
43.63,38.73238
42.87,35.491318
41.29,33.62629
40.92,33.575874
39.76,33.32084
40.86,34.783165
43.71,36.764442
52.9,45.174835
60.3,49.227203
61.64,53.89854
55.32,50.164722
50.56,47.619446
44.12,41.994606
42.83,39.25353
42.52,39.37311
41.97,38.830826
43.7,39.59415
47.75,43.550816
53.3,47.83815
56.04,47.422806
54.74,46.782276
49.62,45.67124
43.14,42.97938
43.01,42.707703
39.56,39.65526
36.84,41.34943
36.2,38.6524
35.59,38.74817
35.87,37.089844
36.01,39.470768
35.56,33.470253
37.36,34.032738
39.62,38.942986
40.78,39.30325
37.86,37.769363
34.37,35.38732
34.68,33.522816
34.57,32.146782
34.25,32.174816
34.85,32.67524
37.71,34.715164
41.56,34.24423
47.42,40.307133
51.66,45.407986
48.84,41.40128
47.21,37.079124
41.62,35.287758
41.06,35.356346
40.35,33.9432
36.66,30.264708
36.73,30.468285
37.62,29.208204
36.29,28.249933
36.53,29.348598
37.12,25.558956
36.96,26.9675
38.81,29.466429
40.02,28.389828
40.19,27.07051
38.11,25.133871
37.37,23.880003
37.21,24.516308
34.85,24.457241
33.65,23.423079
35.25,24.52557
38.33,29.767574
44.22,39.78768
49.92,45.45012
48.94,44.45831
45.58,40.406982
40.33,35.421223
42.56,34.6573
39.34,32.7888
36.5,32.0937
35.96,35.19168
35.91,35.40745
34.94,35.435825
35.43,36.323845
38.69,38.547344
50.68,43.904663
59.37,53.707657
57.25,55.088642
52.54,47.46148
49.0,43.67405
45.0,43.196594
43.29,40.732967
43.19,40.288746
43.87,40.345886
46.47,42.12813
50.28,44.06116
54.88,49.16715
58.4,49.969265
57.48,51.653397
53.06,47.269623
45.68,38.517605
44.47,36.232674
38.18,32.090973
36.63,29.778265
36.19,33.02683
35.54,32.669327
35.5,31.568306
35.79,34.65105
37.76,34.8522
44.2,46.47565
49.63,54.80173
48.64,49.52348
45.75,45.649555
42.68,43.831516
37.86,40.730534
36.74,39.803112
36.44,39.807545
37.37,39.728806
38.44,41.924015
42.78,43.269386
48.96,46.19762
52.9,47.765762
51.83,50.90695
45.45,49.43757
42.33,39.864475
40.38,38.46673
36.96,34.051926
34.88,29.044704
34.69,31.198973
33.66,30.80279
34.65,31.134111
35.84,32.06481
38.06,33.432796
47.98,42.313293
54.2,50.62268
54.13,49.198658
52.28,45.252834
50.78,42.40737
47.78,37.884167
44.26,37.090717
44.73,36.766422
45.04,36.38299
45.88,37.798927
49.56,41.477367
51.95,46.290092
54.86,50.19686
54.13,48.4879
50.44,42.22237
44.28,39.730595
42.75,38.81118
39.17,32.950478
38.84,31.416405
37.7,32.94771
36.9,32.51115
36.18,32.649956
36.71,33.256943
38.52,35.48802
45.48,44.848732
51.19,52.531567
51.21,51.499435
47.4,44.99017
44.78,42.72659
41.87,40.96051
38.47,38.216415
38.57,38.472633
39.86,38.494003
42.2,38.580074
45.9,42.087807
50.18,46.25697
53.45,48.36276
53.19,48.73226
50.48,43.852898
45.09,39.714878
44.04,38.28935
41.6,31.982573
40.31,29.647171
39.35,33.173176
38.92,33.20309
38.82,32.766895
38.68,33.448994
41.25,35.45974
49.65,42.483204
54.76,48.832973
56.46,49.823914
54.54,43.564438
53.04,40.67753
52.2,40.256977
49.97,37.28089
48.07,37.214046
46.14,37.17546
45.62,38.10911
47.29,41.493336
50.96,47.1387
52.98,49.624466
51.53,49.237312
47.67,46.772194
43.25,42.860394
43.64,40.506744
40.01,38.261314
38.34,36.562664
37.52,32.65004
36.53,31.897825
36.48,31.993395
36.35,32.553787
36.66,32.257065
37.81,36.188923
41.02,38.061615
43.28,38.986797
41.7,39.123417
39.78,35.648087
38.26,35.737946
36.42,34.294292
35.14,30.003218
35.84,30.854855
36.93,34.68808
41.57,37.61785
47.38,45.721268
50.82,49.400906
50.03,45.516434
45.98,42.3218
40.29,36.86588
41.52,36.50587
39.75,32.59013
37.66,30.813791
36.89,29.238676
37.2,30.787245
36.34,30.524933
36.11,30.166004
36.62,29.943567
36.28,30.605978
37.28,31.222855
38.02,35.029324
39.56,33.286232
38.04,30.244547
37.59,26.146433
37.32,25.193579
35.9,24.277332
34.32,22.967667
35.38,23.32777
37.92,30.52918
44.77,42.435875
51.11,47.028946
52.08,46.867462
49.97,41.238102
45.04,34.51567
46.99,37.834846
43.93,35.639153
38.72,32.753693
37.03,35.513515
36.45,35.63048
35.89,35.92113
36.31,37.9224
40.8,40.973232
50.72,52.92262
58.19,57.6557
57.54,55.264393
52.59,49.55718
47.68,45.95676
44.72,43.816006
42.49,43.498684
41.74,41.94598
40.27,41.26365
43.0,42.843567
